Host,Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
hello@casawerma.org,Casa Werma's Zoom Meeting,813 7776 1951,"Oct 5, 2025 01:30:28 PM",Processing Recording...,0,0,0,,true,2025-11-04
101room@shambhalaonline.org,Shambhala Sunday Gatherings,870 8841 4804,"Oct 5, 2025 11:31:02 AM",550.4514,5,0,2,"Oct 5, 2025 01:36:06 PM",true,2025-11-04
102room@shambhalaonline.org, White Tara: The Wheel of Compassion ,878 2271 4489,"Oct 5, 2025 09:36:15 AM",1172.9261,5,0,2,"Oct 5, 2025 12:44:32 PM",true,2025-11-04
hello@casawerma.org,Casa Werma's Zoom Meeting,813 7776 1951,"Oct 5, 2025 08:59:19 AM",740.4041,3,1,0,"Oct 5, 2025 02:02:21 PM",true,2025-11-04
108room@shambhalaonline.org,Exploring the Landscape of the Vajrayana,818 5396 9351,"Oct 5, 2025 07:37:49 AM",443.7141,5,0,2,"Oct 5, 2025 10:41:42 AM",true,2025-11-04
hello@casawerma.org,Meditation in Action Retreat ,891 1941 4453,"Oct 4, 2025 01:55:26 PM",840.9421,3,0,0,,true,2025-11-03
103room@shambhalaonline.org,Mandala Principle: Being at the Centre of Your World,840 9510 8794,"Oct 4, 2025 09:30:23 AM",833.5416,4,0,2,"Oct 4, 2025 12:28:25 PM",true,2025-11-03
hello@casawerma.org,Meditation in Action Retreat ,891 1941 4453,"Oct 4, 2025 08:58:55 AM",597.8216,3,0,0,,true,2025-11-03
hello@casawerma.org,Meditation in Action Retreat ,840 4417 8432,"Oct 3, 2025 03:53:17 PM",357.5208,6,0,0,,true,2025-11-02
globalccouncil@shambhala.info,Global Community Council's Personal Meeting Room,974 043 6283,"Oct 1, 2025 11:41:04 AM",480.9915,4,0,0,,true,2025-10-31
susannevincent@outlook.com,Susanne Vincent's Personal Meeting Room,820 747 9772,"Sep 28, 2025 10:56:04 PM",219.2942,3,1,1,"Sep 30, 2025 10:36:01 PM",true,2025-10-29
101room@shambhalaonline.org,Shambhala Sunday Gatherings,870 8841 4804,"Sep 28, 2025 11:07:09 AM",538.8461,4,0,3,"Sep 30, 2025 10:39:54 AM",true,2025-10-28
